"o3","no2"
5.42708333333333,18.4375
9.10416666666667,23.3333333333333
3.94791666666667,18.125
7.39583333333333,27.6041666666667
5.78125,28.125
4.06944444444444,20.625
6.40178571428571,31.0416666666667
5.28125,33.5416666666667
4.03125,23.5416666666667
6.79166666666667,18.8541666666667
7.17380952380952,40.3125
2.33333333333333,31.0416666666667
5.33333333333333,35.7291666666667
2.44444444444444,35
4.69791666666667,31.4583333333333
7,26.4583333333333
8.32291666666667,26.875
4.89583333333333,44.2708333333333
4.8125,35.2083333333333
6.60119047619048,40.7291666666667
3.625,31.1458333333333
3.29166666666667,31.3541666666667
3.71875,36.5625
3.14930555555556,37.3958333333333
7.13888888888889,28.125
7.77916666666667,21.25
5.76041666666667,26.1458333333333
8.36458333333333,25.4166666666667
7.4375,26.3541666666667
7.86111111111111,34.1666666666667
7.48611111111111,23.9583333333333
9.59375,20.7624787677115
9.07802441995459,20.9114583333333
11.2604166666667,21.3541666666667
8.97916666666667,26.5625
8.625,28.0208333333333
4.5390625,26.09375
9.1875,18.4375
12.2291666666667,21.7708333333333
10.75,27.9166666666667
6.70833333333333,19.375
13.46875,21.1458333333333
13.2604166666667,34.7916666666667
5.97916666666667,42.5
5.52083333333333,48.9583333333333
3.65277777777778,37.1875
5.01041666666667,26.3541666666667
9.33333333333333,27.0833333333333
2.26190476190476,42.1875
1.04166666666667,20.4166666666667
3.43215045188729,17.5
7.25,17.2916666666667
8.875,23.1944444444444
8.42592592592593,20.9722222222222
1.99603174603175,16.3888888888889
8.21875,17.6041666666667
8.33333333333333,35.6075338581883
5.00547672272432,18.9930555555556
5.67708333333333,20.9722222222222
13.2395833333333,19.1666666666667
12.6458333333333,23.0555555555556
11.3645833333333,27.6041666666667
3.57291666666667,28.4375
5.82291666666667,21.875
9.92233531887882,17.3958333333333
8.90625,21.6666666666667
11.1458333333333,25.4166666666667
8.20833333333333,26.9791666666667
7.5625,23.2291666666667
10.0833333333333,24.1666666666667
8.86458333333333,25.6944444444444
10.75,17.922149122807
17.0625,24.1666666666667
14.625,19.7222222222222
16.5729166666667,20.1388888888889
13.3055555555556,23.8541666666667
7.26388888888889,23.8333333333333
10.0972222222222,21.3888888888889
6.99031432748538,21.3541666666667
8.51388888888889,23.75
9.73245614035088,31.5625
7.62916666666667,30.8333333333333
9.55555555555556,28.5416666666667
14.2755847953216,40
9.80555555555556,27.9166666666667
15.0016666666667,33.9583333333333
